sido,pop_change_2024,pop_avg_2024,pop_end_2024_dec
강원특별자치도,-10041.0,1521965.3333333333,1517766.0
경기도,63864.0,13664972.416666666,13694685.0
경상남도,-22778.0,3236460.9166666665,3228380.0
경상북도,-22940.0,2541991.0,2531384.0
광주광역시,-10815.0,1413230.6666666667,1408422.0
대구광역시,-11331.0,2367545.0833333335,2363629.0
대전광역시,-3059.0,1440578.75,1439157.0
부산광역시,-26764.0,3279175.25,3266598.0
서울특별시,-54206.0,9362506.166666666,9331828.0
세종특별자치시,4160.0,388654.5833333333,390685.0
울산광역시,-5612.0,1100133.0833333333,1098049.0
인천광역시,23600.0,3011741.0833333335,3021010.0
전국,-108108.0,51266493.666666664,51217221.0
전라남도,-15398.0,1794652.0833333333,1788819.0
전북특별자치도,-16067.0,1745261.4166666667,1738690.0
제주특별자치도,-4884.0,672101.6666666666,670368.0
충청남도,6455.0,2134405.5833333335,2136574.0
충청북도,-2292.0,1591118.5833333333,1591177.0
